Issue Type,Issue key,Issue id,Summary,Fix versions,Fix versions,Fix versions,Status,Created,Updated,Priority,Resolution,Affects versions,Security Level,Labels,Labels,Labels
Defect,NAS-138364,128299,Fix typo in DNS validation for directoryservices,SCALE-25.10.0.1 (Goldeye),SCALE-25.10.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),Done,03/Nov/25 9:27 PM,17/Nov/25 11:56 AM,Medium,Complete,SCALE-26.04-ALPHA.1 (Halfmoon),,IX_EMPLOYEE,,
Bug,NAS-135813,121418,No automatic snapshot of time machine backups in Fangtooth,SCALE-25.10.0.1 (Goldeye),SCALE-25.10.1 (Goldeye),,Done,09/May/25 6:38 PM,17/Nov/25 11:55 AM,Medium,Complete,SCALE-25.04.0 (Fangtooth),,COMMUNITY_USER,hf_want,
Defect,NAS-138390,128344,Remove more blacklist items for netbios names,SCALE-25.10.0.1 (Goldeye),SCALE-25.10.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),Done,04/Nov/25 4:05 PM,17/Nov/25 11:53 AM,High,Complete,SCALE-26.04-ALPHA.1 (Halfmoon),,hf_want,IX_EMPLOYEE,
Defect,NAS-138534,129273,Do not raise validation error for ix-app in upgrade summary,SCALE-25.10.0.1 (Goldeye),SCALE-25.10.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),Done,13/Nov/25 5:31 AM,17/Nov/25 11:51 AM,Medium,Complete,SCALE-26.04-ALPHA.1 (Halfmoon),,hf_want,IX_EMPLOYEE,
Bug,NAS-138232,127713,Unable to start apps on 25.10 works on 25.04.2.5,SCALE-25.10.0.1 (Goldeye),SCALE-25.10.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),Done,28/Oct/25 3:29 PM,17/Nov/25 4:25 AM,Blocker,Complete,SCALE-25.10.0 (Goldeye),,COMMUNITY_USER,hf_want,ready_for_assignment
Bug,NAS-138554,129438,libzfs error description containing invalid UTF-8 sequence can break checks for locked datasets,SCALE-25.10.0.1 (Goldeye),SCALE-25.10.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),Done,14/Nov/25 7:09 AM,14/Nov/25 11:03 AM,High,Complete,SCALE-25.10.0 (Goldeye),,COMMUNITY_USER,ready_for_assignment,
Bug,NAS-138259,127971,SMB2 query directory with SMB_REOPEN flag is broken,SCALE-25.10.0.1 (Goldeye),SCALE-25.10.1 (Goldeye),,Done,30/Oct/25 8:21 AM,13/Nov/25 10:35 AM,Blocker,Complete,SCALE-25.10.0 (Goldeye),,COMMUNITY_USER,hf_want,ready_for_assignment
Bug,NAS-138028,126929,Temperature Threshold Error after update to25.10-RC,SCALE-25.10.0.1 (Goldeye),SCALE-25.10.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),Done,13/Oct/25 3:50 PM,13/Nov/25 10:28 AM,Medium,Complete,SCALE-25.10-RC.1 (Goldeye),,COMMUNITY_USER,hf_want,ready_for_assignment
Bug,NAS-138230,127709,Custom apps do not update from 1.2.13 to 1.2.14,SCALE-25.10.0.1 (Goldeye),SCALE-25.10.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),Done,28/Oct/25 1:33 PM,13/Nov/25 10:27 AM,Medium,Complete,SCALE-25.10.0 (Goldeye),,COMMUNITY_USER,hf_want,ready_for_assignment
Bug,NAS-138281,128044,CloudSync Could Not Retreive Values,SCALE-25.10.0.1 (Goldeye),SCALE-25.10.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),Done,30/Oct/25 9:22 PM,13/Nov/25 10:21 AM,High,Complete,SCALE-25.10.0 (Goldeye),,COMMUNITY_USER,hf_want,ready_for_review
